id,age,gender,activities,bike,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,weightkg,5s_critical_power,10s_critical_power,20s_critical_power,30s_critical_power,gender_encoded,fatigue_index,early_decay,mid_decay,late_decay,anaerobic_reserve,decay_curvature,sprint_wpk_1s,sprint_wpk_15s,sprint_wpk_30s
9689a8d0-1cb1-42f6-83e4-fc0c8f6db31b,41,M,288,271,802.0,540.86667,285.15,264.22222,252.94667,229.78542,225.71,196.42833,188.33611,73.39583333333333,654.0,583.0,526.0,499.0,0,0.6221945137157108,0.8154613466334164,0.8270132568807339,0.9225933629816753,303.0,0.31336910870642765,10.927050808969629,7.369174044848141,6.798751064433722
16a4515f-880b-4e8d-bbb6-3f4df49d11df,54,M,144,31,731.0,622.53333,310.0,298.68889,279.76333,252.77292,242.37,225.265,209.20389,84.0,708.0,639.0,607.0,507.0,0,0.6935704514363885,0.9685362517099864,0.8792843644067796,0.8144142258214512,224.0,-0.044669874807451215,8.702380952380953,7.4111110714285715,6.035714285714286
6e5d8151-097c-4c2f-b277-108c7de1ccf4,41,M,9,0,521.22431,427.27251,314.50155,286.36368,280.81249,272.39791,270.10524,230.08578,224.45154,83.91459,459.0,443.0,416.0,396.0,0,0.759749674760949,0.8806189412001908,0.9308769281045752,0.9268089819305249,125.22430999999995,0.12275068500320163,6.211366938693258,5.091754723463464,4.7190840114931145
aae47a39-516f-4d02-92b0-24208bcccf1e,51,M,92,60,1626.0,574.53333,369.35833,350.73333,343.64333,323.02083,323.37667,318.19,312.84056,59.0,661.0,599.0,550.0,502.0,0,0.3087330873308733,0.4065190651906519,0.8691880937972768,0.873752615883921,1124.0,0.9053621872559585,27.559322033898304,9.737853050847457,8.508474576271187
9f3c2afc-ce45-4318-a15c-0ef1c063d8e7,46,M,6,6,1004.0,667.13333,426.15,385.1,338.36333,335.25,328.86333,315.48792,299.00861,95.0,902.0,777.0,625.0,574.0,0,0.5717131474103586,0.898406374501992,0.7396156651884701,0.8603977258938629,430.0,0.25839685458775374,10.56842105263158,7.022456105263158,6.042105263157895
58660574-95d8-46a2-a44c-a406125790a4,51,M,76,51,912.15734,623.68043,338.66813,302.53211,274.50314,252.6842,252.33884,219.35782,211.50654,90.71847039473684,772.0,697.0,547.0,452.0,0,0.4955285455467584,0.8463452149603927,0.8078762046632124,0.7247301314232355,460.15734,0.05821846540601072,10.054813931837634,6.874900197128805,4.982447323386786
3fe328d9-7fdd-4c06-9c77-15eb796ff511,20,M,964,224,2000.0,2000.0,470.15833,367.86667,327.69333,315.75208,309.15917,294.53083,285.07833,72.0,2000.0,2000.0,2000.0,1447.0,0,0.7235,1.0,1.0,0.7235,553.0,-0.3236547329105983,27.77777777777778,27.77777777777778,20.09722222222222
d6a123b9-898b-4daa-ae87-64769d647195,37,M,76,28,1038.0,675.4,350.41667,342.57778,326.64333,303.04167,287.28333,244.705,241.78389,66.16447368421052,916.0,776.0,593.0,540.0,0,0.5202312138728323,0.882466281310212,0.7373362445414847,0.7995262066923305,498.0,0.20600998738122023,15.688177388883366,10.207894998508502,8.161479566471115
c5245352-be7e-4382-b890-fa3283b1fd09,20,M,474,208,2334.0,1383.93333,515.75833,505.46667,449.11667,437.89583,437.9,329.70167,281.22389,75.0,1633.0,1547.0,1273.0,1116.0,0,0.4781491002570694,0.6996572407883462,0.8474790753214942,0.8063972272421533,1218.0,0.3074750296837756,31.12,18.4524444,14.88
237f6290-1323-4d87-925e-16b5530c13bc,50,M,1362,516,1213.0,866.13333,395.71865,381.50727,333.36,308.48125,302.50333,295.49868,289.45358,65.77089,1000.0,916.0,779.0,637.0,0,0.5251442704039572,0.8244023083264633,0.86613333,0.7354525890373022,576.0,0.029543849614760198,18.44280957730692,13.168946474648589,9.685135779673956
3bd7f73f-e36a-4425-8abe-27502ec2d1c6,35,M,194,194,1129.0,821.93333,410.38333,375.31667,318.38333,297.35,283.98333,267.17917,242.91611,65.0,1063.0,938.0,732.0,670.0,0,0.5934455270150576,0.941541186891054,0.773220442144873,0.8151512726707408,459.0,0.11304670711294573,17.369230769230768,12.645128153846153,10.307692307692308
82c240a4-d6a6-4ffd-9235-bc63745a2cb4,60,M,25,3,339.0,244.8,215.63333,210.28611,200.59833,186.46458,185.81,165.10667,160.99778,58.0,269.0,248.0,244.0,240.0,0,0.7079646017699115,0.7935103244837758,0.9100371747211896,0.9803921568627451,99.0,0.3057559294460992,5.844827586206897,4.220689655172414,4.137931034482759
319d9aba-66f2-4b6c-bcfb-1d1140fbc460,48,M,1044,864,981.0,788.66667,383.875,344.66111,329.20333,315.5375,311.83167,302.69333,275.97778,83.59386973180077,867.0,835.0,716.0,576.0,0,0.5871559633027523,0.8837920489296636,0.9096501384083044,0.7303465734135818,405.0,-0.09600739993227503,11.735310294252452,9.434503660738839,6.890457420478504
edb3ff92-8124-4998-8696-4066d36170e4,53,M,65,14,2000.0,570.2,273.43333,261.43889,242.22667,219.45625,215.84,204.905,181.76556,82.80307692307692,1200.0,680.0,543.0,411.0,0,0.2055,0.6,0.4751666666666667,0.7207997193967028,1589.0,0.9275213210811737,24.15369179889265,6.886217531864294,4.96358366467244
3821696f-b252-4f78-b2f4-604a8d2faf6e,46,M,33,27,1209.0,877.8,333.31667,314.98333,284.42667,243.70833,233.35833,229.9225,211.84889,95.06060606060606,1153.0,1050.0,717.0,614.0,0,0.5078577336641853,0.9536807278742763,0.7613183000867302,0.6994759626338574,595.0,-0.03729377574633297,12.718202103920943,9.234109021357984,6.459037296780363
3663b88e-dc14-4194-b797-0b1ac9ae1706,52,M,783,739,1153.0,696.46667,321.0,300.11667,269.95,261.14792,248.99333,221.71833,212.46,89.08554000000002,840.0,731.0,652.0,587.0,0,0.5091066782307025,0.7285342584562012,0.8291269880952381,0.8428256875522844,566.0,0.33310746305443306,12.94261672545286,7.817954182014273,6.589172608708437
7afbe1fc-c0df-4b66-a4cd-091bfee2f446,59,M,737,625,1012.0,636.86667,349.55833,302.23889,287.63333,256.00417,249.28167,231.35667,216.65278,75.30312075983717,842.0,784.0,559.0,453.0,0,0.44762845849802374,0.8320158102766798,0.7563737173396674,0.7112948774662677,559.0,0.12245532652693214,13.439018061781962,8.457374190787483,6.015686938722558
d633b404-3cd3-473b-9dd6-703ad43bc697,24,M,896,879,1207.0,940.8,460.525,427.03333,374.89333,348.17917,323.87833,308.46583,298.04167,64.0,1150.0,1072.0,925.0,795.0,0,0.6586578293289147,0.9527754763877382,0.8180869565217391,0.8450255102040817,412.0,0.08077418146313864,18.859375,14.7,12.421875
7006ceeb-364f-4fe3-8f01-f7831f8203c4,20,M,485,398,2331.0,1072.73333,553.225,537.95556,459.4,411.04167,403.83667,388.82583,370.23222,84.23917525773196,1351.0,1200.0,995.0,882.0,0,0.3783783783783784,0.5795795795795796,0.79402911176906,0.8221987471947012,1449.0,0.5803143265433226,27.67121108282749,12.734375980272176,10.470187977286079
4c4991a6-71a1-4477-8618-737d98cdffd2,48,M,114,39,1975.0,598.33333,445.96667,417.21111,381.88,318.41458,285.75,248.40083,226.31,69.5,1179.0,709.0,580.0,542.0,0,0.27443037974683543,0.5969620253164557,0.5074922222222222,0.9058495872192177,1433.0,1.0952936654083905,28.41726618705036,8.609112661870505,7.798561151079137
